id,name,description
1,excavator,"Alat untuk pembersihan material, lumpur, dan sedimentasi setelah banjir."
2,dump_truck,"Kendaraan untuk mengangkut material, sampah, atau lumpur dari lokasi terdampak."
3,wheel_loader,"Alat untuk memindahkan material berat dalam volume besar."
4,pompa_air,"Alat untuk membantu penyedotan genangan pada area rendah."
5,mobil_tangki,"Kendaraan pendukung distribusi air bersih atau penyemprotan pascabanjir."
6,pickup_operasional,"Kendaraan operasional lapangan untuk petugas dan logistik ringan."
